ID,Possession Status,Commercial,Developer,Price,sqft Price ,furnished Type,Bathroom,Facing,Transaction Type,Type of Property,City,bedroom,floors,isPrimeLocationProperty,Property Lifespan
8982,Ready to Move,N,Kalpataru Ltd.,10500000,13125,Unfurnished,2,North - East,New Property,Apartment,Thane,2,26,N,Less than 5 years
8981,Under Construction,N,Ashar Group,8800000,NA,Unfurnished,1,NA,Resale,Apartment,Thane,2,20,N,NA
8980,Ready to Move,N,Lodha,12500000,10416,Semi-Furnished,2,East,Resale,Apartment,Thane,2,29,N,5 to 10 years
8979,Ready to Move,N,Raunak Group,6475000,13489,Furnished,2,East,Resale,Apartment,Thane,1,NA,N,New Construction
8978,Ready to Move,N,Lodha,8900000,14983,Furnished,1,NA,Resale,Apartment,Thane,1,27,N,5 to 10 years
8977,Ready to Move,N,Vijay Group,5800000,10247,Semi-Furnished,1,South -West,Resale,Apartment,Thane,1,7,Y,10 to 15 years
8976,Ready to Move,N,Kalpataru Ltd.,12000000,12012,Unfurnished,2,West,Resale,Apartment,Thane,2,19,Y,5 to 10 years
8975,Under Construction,N,Ashar Group,11800000,NA,Unfurnished,2,West,New Property,Builder Floor Apartment,Thane,2,6,Y,NA
8974,Ready to Move,N,Rustomjee,22500000,14950,Furnished,3,NA,Resale,Apartment,Thane,3,29,Y,NA
8973,Ready to Move,N,Runwal Developers,14500000,10861,Unfurnished,3,East,Resale,Apartment,Thane,3,20,Y,Less than 5 years
8972,Ready to Move,N,Ashar Group,17000000,23611,Unfurnished,2,East,Resale,Apartment,Thane,2,33,Y,New Construction
8971,Ready to Move,N,Kavya Buildcon Pvt. Ltd.,4700000,9691,Semi-Furnished,1,NA,Resale,Apartment,Thane,1,7,Y,5 to 10 years
8970,Under Construction,N,Dosti Realty,9700000,10543,Unfurnished,2,East,Resale,Apartment,Thane,2,30,Y,NA
8969,Ready to Move,N,Lodha,9200000,14557,Semi-Furnished,2,North,Resale,Apartment,Thane,1,31,Y,New Construction
8968,Ready to Move,N,Rustomjee,9900000,13271,Unfurnished,2,NA,New Property,Apartment,Thane,2,32,Y,Less than 5 years
